series,aic,in_sample_mape,out_of_sample_mape,durbin_watson,ljungbox_p_lag6,ljungbox_p_lag12,n_obs
cpi_all,429.4343444845507,0.004817323970262885,0.011648594890470453,1.8701043448186485,0.1505272648743229,9.89272600331313e-05,128
cpi_food,217.3041023038332,0.0014857235195770834,0.0039559179977377,2.0021971540144246,0.04998137920445964,2.2490013053543262e-05,128
cpi_apparel,297.5469530579069,0.0051025395408821,0.006474125978524928,1.3349740061778514,0.9999967905173196,0.0020944208481572272,128
cpi_vehicles,201.37349301326498,0.0016534099022423455,0.01034642931373637,1.9534301324316252,0.08620078371366907,2.9352208002674922e-05,128
cpi_pharma,390.35076198428095,0.0022552432677260185,0.018807007679627365,1.2438363832355455,0.9999999713728916,0.5823596099772936,128
cpi_household,127.41243725389873,0.0008910427952005654,0.0047258168905458765,2.023480052315819,0.03929884876468484,1.8428535865796645e-05,128
