cpi_series,order,uses_exog,n_obs,n_folds,mape_mean,mape_std,rmse_mean,rmse_std,converged,convergence_rate,aic_mean
cpi_all,"(0, 1, 1)x(0, 0, 0, 0)",No,128,5,0.9108979095386716,1.0978333888315794,2.9578796476328777,3.6711453120132997,5,100.0,124.00165202590563
cpi_food,"(0, 1, 1)x(0, 1, 1, 12)",Yes,128,5,1.6878439949516342,0.9574768306687513,6.080035099860213,3.525435108281005,5,100.0,101.50481684681581
cpi_apparel,"(0, 1, 0)x(0, 1, 1, 12)",Yes,128,5,3.1907237272522804,1.7562988215981632,4.37126641239354,2.3625674364863456,5,100.0,145.41584364612368
cpi_vehicles,"(0, 1, 1)x(0, 1, 1, 12)",No,128,5,2.402655506669549,2.791203376991078,4.6594020567466226,4.984566719540236,5,100.0,301.6308835875615
cpi_pharma,"(0, 1, 0)x(0, 1, 1, 12)",Yes,128,5,1.185413650603293,0.7555159260091389,6.913879677858806,4.290805949529942,5,100.0,188.93143596727342
cpi_household,"(0, 1, 1)x(0, 1, 1, 12)",Yes,128,5,0.6726388605140933,0.5696557254938635,2.3624135207739205,1.960183596469629,5,100.0,244.8559427924316
