cpi_series,order,n_obs,baseline_mape,baseline_mape_std,baseline_rmse,baseline_rmse_std,baseline_converged,lag3_mape,lag3_mape_std,lag3_rmse,lag3_rmse_std,lag3_converged,mape_improvement,rmse_improvement
cpi_all,"(1, 1, 1)x(1, 1, 1, 12)",128,0.7712496779676637,0.6208761590495112,2.4323755508233598,1.95295513476215,0,1.0506600180348753,0.6595938530089024,3.688555039589334,2.568020846956964,1,-0.27941034006721155,-1.2561794887659743
cpi_food,"(1, 1, 1)x(1, 1, 1, 12)",128,2.222321116233864,1.2376105048615416,7.651142867200032,4.499573173619725,0,1.6321394181945763,1.4880251490897631,5.708998165947242,5.067690969260108,1,0.5901816980392876,1.94214470125279
cpi_apparel,"(1, 1, 1)x(0, 1, 1, 12)",128,2.6017884635215895,1.558861678834691,3.5638991845027936,2.098049768593612,0,1.552454297023313,0.2957977405100979,2.174015885476284,0.4038375859499214,0,1.0493341664982765,1.3898832990265095
cpi_vehicles,"(1, 1, 1)x(1, 1, 1, 12)",128,2.227071700019007,2.716971367278115,4.126010714475982,4.791480981439168,1,2.1983913722190893,2.048305475146773,4.220453461860894,3.566371918009412,0,0.02868032779991747,-0.0944427473849121
cpi_pharma,"(1, 1, 1)x(0, 1, 1, 12)",128,1.1058701992587046,0.9208525053855272,6.618287333817081,5.245320794129995,0,1.0890120443368996,0.7487108031202079,7.0478859178974265,4.340746816698819,0,0.01685815492180498,-0.42959858408034535
cpi_household,"(1, 1, 1)x(1, 1, 1, 12)",128,1.0685308415047652,1.0068053693351797,4.009427368741249,3.911805876958646,0,0.9602667916042437,0.8997623106847669,3.5278413652197025,3.4678779910132387,0,0.10826404990052152,0.48158600352154624
