"Date","Loaded Inbound","Loaded Outbound","Total Loaded","Empty Inbound","Empty Outbound","Total Empties","Total"
"Aug 1990","72,065","41,751","113,816","","","26,404","140,220"
"Jul 1990","75,135","40,300","115,435","","","23,782","139,217"
"Jun 1990","66,149","36,094","102,243","","","20,988","123,231"
"May 1990","71,665","48,389","120,054","","","26,311","146,365"
"Apr 1990","65,114","46,915","112,029","","","21,829","133,858"
"Mar 1990","63,278","46,132","109,410","","","23,479","132,889"
"Feb 1990","57,542","40,826","98,368","","","20,156","118,524"
"Jan 1990","71,890","41,205","113,095","","","25,805","138,900"
"Dec 1989","63,877","36,245","100,122","","","28,298","128,420"
"Nov 1989","77,742","43,229","120,971","","","35,544","156,515"
"Oct 1989","75,310","38,949","114,259","","","33,877","148,136"
"Sep 1989","65,062","31,565","96,627","","","29,356","125,983"
"Aug 1989","80,138","43,673","123,811","","","33,070","156,881"
"Jul 1989","67,663","35,795","103,458","","","23,355","126,813"
"Jun 1989","62,437","38,694","101,131","","","24,211","125,342"
"May 1989","69,481","44,867","114,348","","","24,491","138,839"
"Apr 1989","54,290","37,269","91,559","","","18,492","110,051"
"Mar 1989","56,629","41,236","97,865","","","20,822","118,687"
"Feb 1989","55,946","36,897","92,843","","","22,424","115,267"
"Jan 1989","62,071","36,405","98,476","","","25,707","124,183"
"Dec 1988","64,214","35,377","99,591","","","28,586","128,177"
"Nov 1988","73,393","41,929","115,322","","","33,959","149,281"
"Oct 1988","65,134","34,709","99,843","","","29,908","129,751"
"Sep 1988","64,664","34,985","99,649","","","28,044","127,693"
"Aug 1988","76,832","42,873","119,705","","","32,384","152,089"
"Jul 1988","67,196","37,178","104,374","","","21,509","125,883"
"Jun 1988","67,016","41,711","108,727","","","22,951","131,678"
"May 1988","62,641","40,463","103,104","","","21,259","124,363"
"Apr 1988","54,212","37,255","91,467","","","19,880","111,347"
"Mar 1988","61,287","44,084","105,371","","","23,923","129,294"
"Feb 1988","58,229","32,991","91,220","","","17,620","108,840"
"Jan 1988","61,545","36,241","97,786","","","23,621","121,407"
"Dec 1987","55,341","33,516","88,857","","","25,404","114,261"
"Nov 1987","63,805","34,528","98,333","","","29,823","128,156"
"Oct 1987","65,637","30,501","96,138","","","32,140","128,278"
"Sep 1987","67,801","31,466","99,267","","","32,010","131,277"
"Aug 1987","66,848","29,629","96,477","","","33,107","129,584"
"Jul 1987","64,843","30,503","95,346","","","30,636","125,982"
"Jan-Jul 1987","356,126","177,312","533,438","","","169,311","702,749"
